                C H A N D U   T H E   M A G I C I A N
                -----------   -----   ---------------

                           1932 - 1949

First Show: Oct 08, 1932                      Last Show: Jun 10, 1950
Number Shows: Series 1, ???                       Audition Show: none
              Series 2, 154
              Series 3, 13
              Series 4, ??


Series Description:

CHANDU THE MAGICIAN first aired from 1932 to 1936 as a daily 15-
minute serial.  The series starred Gayne Whitman.  Approximately
eighty episodes exist from this run.  Most of the episodes that
survived are from the end of the '32-'36 series.

The scripts from the first run were reproduced in the 1948 to 1949
version, starring Tom Collins in the title role.  The complete run
of 154 episodes is available from this series.  The series is broken
into three stories.  The first is "The Search For Robert Regent" and
has 68 15-minute episodes (or chapters).  The second is "Mission To
Montabania", with 48 15-minute episodes.  The third, and last, is
"The Return Of Roxor", consisting of 38 15-minute shows.

The last 15-minute show was on January, 28, 1949.  On February 3,
1949, the show switched to a once-a-week, 30-minute format.  It
started with a 13 show series, of which 12 are available.  This
series was a condensed version of "The Search For Robert Regent".

There were about 30 shows following the 13 week run on Mutual.
This new series was on ABC, and the emphasis is on Frank Chandler
the spy, with maybe one magic stunt at the end to wrap up the plot.
The women of the family are pretty much missing, as is Princess
Nadji.  Bob pops up occasionally.  These shows sound very rushed,
and some are rehashes of old stories.  All in all, they are pretty
poor - this from a Chandu fan.  (Last paragraph was based on info
from Max Schmid. See Feedback.)


Log Comments:

Since the full run of the earlier run is not available, This list is
restricted to the 1948 / 1949 15-minute serials, the 30-minute shows
that followed and some of the shows from the final ABC series.

A number of catalogs show episode numbers that follow the full run.
For example, one catalog offers episodes 1 through 154 of the 1948-
1949 run.  Since I could break that run into 3 parts, I've numbered
episodes based on episodes in each part.

Many catalogs listed only episode numbers and no titles.  Titles in
this log were the first ones found.  For example, titles for episode
21 through 68 of the 1948 "The Search For Robert Regent" came from
the Radio Memories catalog.  No attempt to list alternate titles has
been made.


Chronological Log:


***********  Series 2: 1948 / 1949 15-Minute Serials  ************

Date          Day  Num  Episode Title                        Avail
------------  ---  ---  -----------------------------------  -----
                        THE SEARCH FOR ROBERT REGENT
Jun 28, 1948  Mon    1  "Frank Chandler Returns"             yes
Jun 29, 1948  Tue    2  "Robert Regent's Secret"             yes
Jun 30, 1948  Wed    3  "The Psychic Summons"                yes
Jul 01, 1948  Thu    4  "Off To Egypt"                       yes
Jul 02, 1948  Fri    5  "The Rug Shop"                       yes
Jul 05, 1948  Mon    6  "Hypnotic Persuasion"                yes
Jul 06, 1948  Tue    7  "Dorothy Is Rescued"                 yes
Jul 07, 1948  Wed    8  "Cab Ride To Cairo"                  yes
Jul 08, 1948  Thu    9  "Message In The Blue Flame"          yes
Jul 09, 1948  Fri   10  "Journey Up The Nile"                yes
Jul 12, 1948  Mon   11  "The Pyramid And The Hotel"          yes
Jul 13, 1948  Tue   12  "Rendezvous In The Garden"           yes
Jul 14, 1948  Wed   13  "Meeting With Princess Nadji"        yes
Jul 15, 1948  Thu   14  "Betty Is Kidnapped"                 yes
Jul 16, 1948  Fri   15  "Ahmed, The Fortune Teller"          yes
Jul 19, 1948  Mon   16  "Nadji And Roxor"                    yes
Jul 20, 1948  Tue   17  "The Hand Of Horus"                  yes
Jul 21, 1948  Wed   18  "The Spell Of The Ancient Statue"    yes
Jul 22, 1948  Thu   19  "The Statue's Secret"                yes
Jul 23, 1948  Fri   20  "Exorcism"                           yes
Jul 26, 1948  Mon   21  "Betty And Bob Disappear"            yes
Jul 27, 1948  Tue   22  "Secret Door"                        yes
Jul 28, 1948  Wed   23  "Roxor Threatens Death"              yes
Jul 29, 1948  Thu   24  "Bob Rescued"                        yes
Jul 30, 1948  Fri   25  "Abdullah Disappears"                yes
Aug 02, 1948  Mon   26  "Emerald Casket"                     yes
Aug 03, 1948  Tue   27  "Disappearing Ink"                   yes
Aug 04, 1948  Wed   28  "Looking For Casket"                 yes
Aug 05, 1948  Thu   29  "Sick Camel"                         yes
Aug 06, 1948  Fri   30  "Trouble With Guides"                yes
Aug 09, 1948  Mon   31  "Low Water Supply"                   yes
Aug 10, 1948  Tue   32  "Abdullah's Affections"              yes
Aug 11, 1948  Wed   33  "Gordon Douglas"                     yes
Aug 12, 1948  Thu   34  "Douglas' Diner"                     yes
Aug 13, 1948  Fri   35  "Douglas Is An Imposter"             yes
Aug 16, 1948  Mon   36  "Finding A Letter"                   yes
Aug 17, 1948  Tue   37  "Nile Curse"                         yes
Aug 18, 1948  Wed   38  "Chandu's Disguise"                  yes
Aug 19, 1948  Thu   39  "Manuscript Found"                   yes
